BOOT_BUTTON	64.00	108.52	180.00	BUTTON_CUSYOMV1	MYBUTTON
C1	159.27	5.71	90.00	100nF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C10	67.26	104.92	90.00	100nF	EAGLE-LTSPICE_C0402
C10_SUPERCAP	100.87	52.45	90.00	CPH3225A	CAPCP3225X100N
C1_BAT	27.48	25.34	90.00	4.7uF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1	119.19	54.03	0.00	4.7uF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2	119.20	51.79	0.00	4.7uF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C2	34.13	48.20	90.00	100nF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT	35.98	25.17	90.00	4.7uF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C3	130.05	38.39	90.00	100uF	RCL_CT3528
C4	121.22	48.54	90.00	4.7uF/25V	ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB	151.98	47.08	0.00	100nF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C5	27.95	107.19	270.60	1nF	EAGLE-LTSPICE_C0402
C5_USB	151.89	48.86	0.00	4.7uF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C6	52.15	105.46	90.00	100nF	EAGLE-LTSPICE_C0402
C7	103.61	30.22	90.00	10uF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C8	31.52	25.26	90.00	100nF	ESP32_WROVER_EAGLE-LTSPICE_C0402
C9	156.73	5.83	90.00	100nF	ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON	49.00	108.52	180.00	BUTTON_CUSYOMV1	MYBUTTON
CHG_LED	117.47	37.55	0.00		ADAFRUIT_CHIP-LED0603
C_DELAY	135.16	37.00	90.00	100nF	ESP32_WROVER_EAGLE-LTSPICE_C0402
D1	149.67	51.63	0.00	USBLC6-2SC6Y	SOT95P280X145-6N
D10	119.85	37.67	90.00	PGB1010603MR	DIOC1608X36N
D11	37.64	48.43	90.00	PGB1010603MR	DIOC1608X36N
D12	12.66	99.21	0.00	PGB1010603MR	DIOC1608X36N
